AMBulatório;Ambulatório sigla;Endereço;Médico;Especialidade;Dia da Semana;Período;Entrada;Saída;
AMBULATÓRIO DE OBESIDADE ;ARE I;RUA 34, 1050, CENTRO, Barretos, SP ;ROGERIO PRADO PEREIRA ;NUTROLOGO ;Segunda;Manhã;08:30;12:30;
AMBULATÓRIO DE OBESIDADE ;ARE I;RUA 34, 1050, CENTRO, Barretos, SP ;ROGERIO PRADO PEREIRA ;NUTROLOGO ;Terça;Manhã;07:00;13:00;
AMBULATÓRIO DE OBESIDADE ;ARE I;RUA 34, 1050, CENTRO, Barretos, SP ;ROGERIO PRADO PEREIRA ;NUTROLOGO ;Quarta;Manhã;08:30;12:30;
AMBULATÓRIO DE OBESIDADE ;ARE I;RUA 34, 1050, CENTRO, Barretos, SP ;ROGERIO PRADO PEREIRA ;NUTROLOGO ;Quinta ;Manhã;08:30;12:30;
SERVIÇO DE ASSISTENCIA ESPECIALIZADA ;SAE - CASA ROSA;RUA JERONIMO ALVES PEREIRA, 490, JARDIM UNIVERSITÁRIO, Barretos, SP ;VANESSA SOARES DE OLIVEIRA E ALMEIDA ;INFECTOLOGISTA ;Terça;Manhã;07:00;12:00;
SERVIÇO DE ASSISTENCIA ESPECIALIZADA ;SAE - CASA ROSA;RUA JERONIMO ALVES PEREIRA, 490, JARDIM UNIVERSITÁRIO, Barretos, SP ;VANESSA SOARES DE OLIVEIRA E ALMEIDA ;INFECTOLOGISTA ;Terça;Tarde;13:00;17:00;
SERVIÇO DE ASSISTENCIA ESPECIALIZADA ;SAE - CASA ROSA;RUA JERONIMO ALVES PEREIRA, 490, JARDIM UNIVERSITÁRIO, Barretos, SP ;VANESSA SOARES DE OLIVEIRA E ALMEIDA ;INFECTOLOGISTA ;Quinta ;Manhã;07:00;09:00;
SERVIÇO DE ASSISTENCIA ESPECIALIZADA ;SAE - CASA ROSA;RUA JERONIMO ALVES PEREIRA, 490, JARDIM UNIVERSITÁRIO, Barretos, SP ;VANESSA SOARES DE OLIVEIRA E ALMEIDA ;INFECTOLOGISTA ;Sexta;Manhã;07:00;12:00;
SERVIÇO DE ASSISTENCIA ESPECIALIZADA ;SAE - CASA ROSA;RUA JERONIMO ALVES PEREIRA, 490, JARDIM UNIVERSITÁRIO, Barretos, SP ;VANESSA SOARES DE OLIVEIRA E ALMEIDA ;INFECTOLOGISTA ;Sexta;Tarde;13:00;17:00;
SERVIÇO DE ASSISTENCIA ESPECIALIZADA ;SAE - CASA ROSA;RUA JERONIMO ALVES PEREIRA, 490, JARDIM UNIVERSITÁRIO, Barretos, SP ;NAIARA RAFAELA RIZZO ;INFECTOLOGISTA ;Segunda;Manhã;08:00;12:00;
SERVIÇO DE ASSISTENCIA ESPECIALIZADA ;SAE - CASA ROSA;RUA JERONIMO ALVES PEREIRA, 490, JARDIM UNIVERSITÁRIO, Barretos, SP ;NAIARA RAFAELA RIZZO ;INFECTOLOGISTA ;Terça;Tarde;13:00;17:00;
SERVIÇO DE ASSISTENCIA ESPECIALIZADA ;SAE - CASA ROSA;RUA JERONIMO ALVES PEREIRA, 490, JARDIM UNIVERSITÁRIO, Barretos, SP ;NAIARA RAFAELA RIZZO ;INFECTOLOGISTA ;Quarta;Manhã;08:00;12:00;
SERVIÇO DE ASSISTENCIA ESPECIALIZADA ;SAE - CASA ROSA;RUA JERONIMO ALVES PEREIRA, 490, JARDIM UNIVERSITÁRIO, Barretos, SP ;NAIARA RAFAELA RIZZO ;INFECTOLOGISTA ;Quinta ;Manhã;08:00;12:00;
